row_type,line_id,mechanism,item,vendor,product_family,sku,qty_per_robot,spares_qty,qty_total,unit_cost_usd,extended_cost_usd,buy_or_fab,confidence,lead_time_days,long_lead_flag,legality_rule_id,stock_status_string,stock_checked_date,verify_url,ordered_status,po_ref,notes
EXAMPLE,M1-001,M1 Drivetrain,FTC Starter Kit 2026-2027 Season,goBILDA,FTC Kits,3200-4008-2627,1,0,2,899.99,1799.98,BUY,VERIFIED,[J] est 7-14,Y,R301+R302,In Stock,2026-08-21,https://www.gobilda.com/ftc-kits,NOT-ORDERED,,EXAMPLE ROW - DELETE. WHY: two identical kits make both robots start identical; ~65% of the pre-kickoff parts coverage in 4 purchase decisions. 25% FIRST team discount applies. Price as of Aug 2026 VERIFY-BEFORE-ORDER.
EXAMPLE,M8-001,M8 Electrical / control,Control Hub,REV Robotics,REV Control System,REV-31-1595,1,0,2,375.00,750.00,BUY,VERIFIED,[J] est 7-14,Y,R701.A,In Stock & Ready To Ship!,2026-08-21,https://www.revrobotics.com/rev-31-1595/,NOT-ORDERED,,"EXAMPLE ROW - DELETE. WHY: R701 requires 1 ROBOT CONTROLLER per robot; option A. Runner-up: R701.B Android phone + Expansion Hub REV-31-1153 - SWITCH TRIGGER = storefront limit exhausted AND Control Hub out of stock. NOTE REV-31-1153 read OUT OF STOCK 2026-08-21. Buy via FIRST storefront first (cheaper, limit 1 per registered team)."
EXAMPLE,M8-000,M8 Electrical / control,Electronics Kit (Control Hub + Smart Robot Servo + Color V3 + Touch + cable pack + grounding strap),FIRST storefront,Electronics Modules and Sensors Kit V1.1,,1,0,2,325.00,650.00,BUY,VERIFIED,[J] ships after registration,Y,R701.A,not published pre-order,2026-08-22,https://www.firstinspires.org/robotics/ftc/pricing-and-payment,NOT-ORDERED,,"EXAMPLE ROW - DELETE. THE LIMIT-ONE PATTERN, and the reason two registrations pay for themselves: ""Limit one per registered team per season"", so 2 registered teams = 2 allocations = qty_total 2 with qty_per_robot 1. Price $325 is the [H] 25-26 quote from the FIRST storefront options sheet rev 25-26.4 (Feb 18 2026), VERIFIED 2026-08-22; the 26-27 price is NOT published - registration already rose $325->$350, so treat $325 as a FLOOR and read the live price off the login-gated Team Dashboard. Cheapest legal path to a Control Hub (R701.A); retail fallback is REV-31-1595 at $375."
EXAMPLE,M8-002,M8 Electrical / control,12V Slim Battery,REV Robotics,12V NiMH main battery (Table 12-4),REV-31-1302,2,1,5,60.00,300.00,BUY,VERIFIED,[J] est 7-14,Y,R601+Table 12-4,In Stock & Ready To Ship!,2026-08-21,https://www.revrobotics.com/rev-31-1302/,NOT-ORDERED,,EXAMPLE ROW - DELETE. R601 allows exactly 1 approved 12V NiMH main battery on the robot; qty is rotation depth (2/robot + 1 pool). Product page does NOT state chemistry but REV-31-1302 is named in closed Table 12-4 so legality is CONFIRMED-BIOBUZZ. 3000mAh XT30 16AWG 20A ATM fuse. E511 caps chargers at 3-amp average channel current - buy 2-3 chargers.
EXAMPLE,M5-001,M5 Lift / extension,"2 Stage Viper-Slide Kit (Belt-Driven, 336mm Slides)",goBILDA,Viper-Slide linear slide kits,3210-0003-0002,1,1,3,159.99,479.97,BUY,VERIFIED,[J] est 7-14,Y,R303.A,In Stock,2026-08-21,https://www.gobilda.com/ftc-kits,NOT-ORDERED,,EXAMPLE ROW - DELETE. DEFERRED-R105: stage count and travel depend on the Kickoff expansion limits - R105 says sizing constraints will be released at Kickoff. WHY: legal COTS single-DoF linear slide kit per R303.A. Runner-up: 4-Stage 240mm 3210-0004-0004 $219.99 - SWITCH TRIGGER = this SKU goes out of stock. Highest stock-out-risk family in FTC; +1 spare because bent slides are a routine repair.
EXAMPLE,M6-001,M6 End effector,Gripper fingers / jaws (6 printed parts per set),IN-HOUSE,3D printed TPU/PLA+,,6,6,18,0.00,0.00,FAB,VERIFIED,n/a,N,R302+R303.G,n/a,2026-08-21,,NOT-ORDERED,,"EXAMPLE ROW - DELETE. Qty counted in PARTS not sets: 6 parts/robot x 2 robots + 6 spare = 18 prints = 3 full sets (A, B, spares) per ACHIEVABILITY-FACTORS.md F2. MUST be fabricated: a BOUGHT multi-DoF gripper violates R303; a FABRICATED one is legal under R302 (raw materials incl. plastic). D2 check: 2.5h print x 18 = 45h printer time - check TWO-ROBOT-PROGRAM.md 6.3 queue against the calendar."
EXAMPLE,M10-001,M10 Structure,M4 Hardware Starter Pack (2625 Pcs),goBILDA,Hardware Bundles,3201-0010-0001,0,0,1,139.99,139.99,BUY,VERIFIED,[J] est 7-14,Y,R302,In Stock,2026-08-21,https://www.gobilda.com/hardware-bundles/,NOT-ORDERED,,EXAMPLE ROW - DELETE. SHARED BENCH STOCK - qty_per_robot=0 deliberately (duplicability D5: share what sits on a bench). Long-lead because fasteners stock out first: sibling SKU 3201-0004-0001 M4 Socket Head Assortment read OUT OF STOCK on 2026-08-21.
EXAMPLE,M8-003,M8 Electrical / control,12V Battery Charger,goBILDA,Battery Chargers,3101-0012-0001,0,0,3,14.99,44.97,BUY,VERIFIED,[J] est 7-14,Y,E511,not stated on category page,2026-08-21,https://www.gobilda.com/battery-chargers/,NOT-ORDERED,,"EXAMPLE ROW - DELETE. SKU and price VERIFIED on the category page but stock string and charge current are NOT stated there - CONFIRM AT CART. E511 forbids chargers exceeding a 3-amp average channel current: verify the rating before ordering. 3 units = one per pit + 1, because two robots at one event cannot share one charger."
EXAMPLE,M8-004,M8 Electrical / control,Servo Power Block (only if the servo budget needs a regulator),Studica,"Power regulating device, Table 12-3",75005,0,0,0,,,BUY,MANUAL-SKU,UNVERIFIED,N,R505+Table 12-3,UNVERIFIED - site HTTP 403,2026-08-22,,NOT-ORDERED,,"EXAMPLE ROW - DELETE. Qty 0 deliberately: this is the row you write to PROVE you considered a regulator and did not need one. MANUAL-SKU = the part number comes from Table 12-3 in the manual, so legality is CONFIRMED-BIOBUZZ, but price and stock are UNVERIFIED because Studica returned HTTP 403. Table 12-3 is CLOSED - it is the only list of legal power regulating devices. Verified from the PDF 2026-08-22: 75005 = 2 Servos per Port. WARNING: the plain-text section dump shifts this table by one row and mis-states the REV-11-1855 and REV-31-1230 limits - see BOM-PROTOCOL.md A5.2."
EXAMPLE,M2-001,M2 Odometry / localization,Dead-wheel odometry pod kit,goBILDA,NEEDS-SKU-CHECK - odometry pods,,2,0,4,,,BUY,FAMILY-ONLY,UNVERIFIED,Y,R303.J,UNVERIFIED,2026-08-21,https://www.gobilda.com/,NOT-ORDERED,,EXAMPLE ROW - DELETE. NEEDS-SKU-CHECK: family verified as legal (R303.J explicitly exempts dead-wheel odometry kits from the single-DoF limit) but the specific SKU and price were NOT verified this session. DO NOT ORDER against this row - run BOM-PROTOCOL.md step B6 first. NOTE the classic 32mm odometry omni 3624-4008-0032 was reported OUT OF STOCK 2026-08-21.
EXAMPLE,M11-001,M11 Compliance,ROBOT SIGNS,IN-HOUSE,Printed FIRST template on robust backing,,2,2,6,0.00,0.00,FAB,VERIFIED,n/a,Y,R401+R402,n/a,2026-08-21,,NOT-ORDERED,,"EXAMPLE ROW - DELETE. R401: minimum 2 signs per ROBOT in at least 2 separate locations on opposite or adjacent surfaces 90 degrees apart, min 6.5in x 2.5in, robust material, supported by the frame. R402: solid red OR blue opaque rectangle, and CANNOT be powered. Both colours x 2 signs x 2 robots. MAKE THESE IN AUGUST - it is an inspection item, not a build item."
SUBTOTAL,M8-SUB,M8 Electrical / control,SUBTOTAL BY MECHANISM,,,,,,,,1744.97,,,,,,,,,,,"EXAMPLE ROW - DELETE. Subtotal by MECHANISM, never by vendor - mechanism subtotals are what make the B5 cut conversation possible. This one sums M8-000 storefront Electronics Kits (650.00) + M8-001 Control Hub retail fallback (750.00) + M8-002 batteries (300.00) + M8-003 chargers (44.97) + M8-004 Studica regulator (0.00, considered and not needed). NOTE the double-count: M8-000 and M8-001 are ALTERNATIVES, not additions - a real BOM buys the storefront kit OR the retail hub. Both are shown here to illustrate the runner-up convention, so the honest M8 subtotal for a real two-robot build is 994.97, not 1744.97. Delete the alternative you did not pick."
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
