id	page	class	headline	n_words	n_clauses	violation	body
I101	15	EVERGREEN	Teams must be registered with	112	0		FIRST. Teams must be "competition ready" in order to compete in FIRST Tech Challenge official events and earn MATCH points or be eligible for judged awards.   A.North America - competition ready requirements:  i. complete annual registration process through the FIRST dashboard   ii.pay annual registration fee  iii.two adults must be assigned in the Lead Coach/Mentor 1/Lead Coach/Mentor 2 roles and  have passed Youth Protection Program (YPP) screening iv.register all youth team members on the FIRST dashboard  B.Outside North America - competition ready requirements:  i. complete annual registration process through the FIRST dashboard   ii.complete any additional requirements by the local FIRST Program Delivery Partner with  regards to program fees, registrations and youth protection screening.
I102	15	EVERGREEN	Check-in at the event on time.	110	0		Teams must check-in by the check-in deadline listed on the public event schedule or as instructed by the Event Director. Check-in must be completed by a team adult and  at least one STUDENT must be present at the venue before check-in can be completed.   Additional check-in requirements will vary by region but may require one or more of the following items:   A.team roster from the team's FIRST dashboard (North America only)  B.local Program Delivery Partner team member registration or consent forms (varies by region)  C.A ROBOT built to play the current season's game if they intend to participate in MATCHES   D.printed judging support materials (optional, see section 6 Awards (A))
I103	15	EVERGREEN	A responsible adult must be present for the whole event.	387	0		At least one, preferably two, adult(s) responsible for the STUDENT team members must be present at all times during the event. Adults  attending FIRST Tech Challenge events are expected to follow the same rules as youth participants.   3.2 Awards Eligibility Rules  Complete details and rules about FIRST Tech Challenge judged awards can be found in section 6 Awards (A).  3.3 MATCH Eligibility Rules  This section describes the rules governing MATCH participation. A team has participated in a MATCH if any  member of their DRIVE TEAM is in the ALLIANCE AREA, with or without the ROBOT on the FIELD, at the start of  the MATCH.  This section describes the rules and requirements for team participation in MATCH play. ROBOTS are required  to pass ROBOT inspections before being allowed to compete. These inspections are to help ensure that all  section 12 ROBOT Construction Rules (R) are satisfied.  At each event, the lead ROBOT INSPECTOR (LRI) has final authority on the legality of any COMPONENT,  MECHANISM, or ROBOT. INSPECTORS may re-inspect ROBOTS at any time to ensure compliance with the  rules. Teams are expected to consult with INSPECTORS or the LRI if they have any questions regarding the  legality of a ROBOT or about how to make a ROBOT legal.  The inspection process may progress in blocks, i.e., it may pause for a team to make a correction. The process  may employ various INSPECTORS throughout the process based on availability. At the team's discretion, they  may request a different INSPECTOR or invite the lead ROBOT INSPECTOR to participate in their ROBOT'S  inspection.  Events may assign specific inspection time slots for teams to better facilitate a quick and orderly inspection  process. Teams should plan to report to their assigned inspection times fully ready to complete inspection.   Prior to the start of a MATCH, any ROBOT which is unable or ineligible to participate in that MATCH, as  determined by the team, FIRST Technical Advisor (FTA), LRI, or Head REFEREE, is DISABLED and can be  removed from the FIELD with permission of the Head REFEREE or FTA. A team whose ROBOT is DISABLED or  not present is eligible to receive qualification MATCH Points or playoff MATCH points provided that its ROBOT  has passed inspection, per I302, and as long as at least one STUDENT DRIVE TEAM member is present in the  ALLIANCE AREA.
I301	16	EVERGREEN	It is your team's ROBOT.	76	0		The ROBOT and its MAJOR MECHANISMS must be built by the FIRST Tech Challenge team that has registered for the event and intends to use the ROBOT to participate in  MATCHES or as part of judged awards.   A MAJOR MECHANISM is a group of COMPONENTS and/or MECHANISMS assembled together to  address at least 1 game challenge: ROBOT movement, SCORING ELEMENT manipulation, FIELD  element manipulation, or performance of a scorable task without the assistance of another ROBOT.
I302	17	EVERGREEN	Get inspected before playing a qualification/playoff MATCH.	52	0	If prior to the start of the MATCH, the team is DISQUALIFIED and not eligible toparticipate in  the MATCH. If after the start of the MATCH, the team receives a REDCARD for that MATCH.	A team is only permitted to participate in a qualification or playoff MATCH and receive RANKING POINTS if their ROBOT has passed an initial,  complete inspection. INSPECTORS are available to help, but teams are expected to ensure their ROBOT  and other supporting equipment are within the rules at all times when competing.
I303	17	EVERGREEN	Bring the complete ROBOT and supporting equipment to inspection.	160	0		At the time of inspection, the OPERATOR CONSOLE and the ROBOT with battery must be presented with all MECHANISMS (including  all COMPONENTS of each MECHANISM), configurations, and decorations that will be used on the  ROBOT in MATCHES without re-inspection per I304.   A.ROBOTS are allowed to play MATCHES with a subset of the MECHANISMS that were present  during inspection. Only MECHANISMS that were present during inspection may be added,  removed, or reconfigured between MATCHES. The ROBOT should be assembled in a typical  configuration used for MATCH play when reporting for inspection. ROBOT and all  MECHANISMS must be inspected in every STARTING CONFIGURATION.  B.If MECHANISMS are swapped out between MATCHES, the reconfigured ROBOT must still meet  all rules.  C.The total of all electronics (motors, servos, Android Devices, etc.) used to build all  MECHANISMS and base ROBOT, whether they are used on the ROBOT at the same time or not,  may not exceed the constraints specified in section 12 ROBOT Construction Rules (R).
I304	17	EVERGREEN	Unless the change is listed below, any change to a ROBOT must get re-inspected.	162	0	ROBOT must be inspected before participating in a MATCH or the team will receive a RED  CARD.	A ROBOT may play MATCHES with a subset of the MECHANISMS that were present during inspection provided the  reconfigured ROBOT still complies with all ROBOT construction rules. Only MECHANISMS that were  present during the inspection may be added, removed, or reconfigured between MATCHES without re- inspection per this rule. If a ROBOT is modified after its most recently passed inspection, it must be re- inspected before the ROBOT is eligible to participate in a MATCH.   Exceptions are listed below (unless they result in a significant change to the ROBOT'S size, legality, or  safety).   A.addition, relocation, or removal of fasteners (e.g., cable ties, tape, and rivets),   B.addition, relocation, or removal of labeling or marking,  C.addition, relocation, or replacement of the team SIGN,  D.revision of ROBOT code,  E.replacement of a COTS COMPONENT with an identical COTS COMPONENT,  F.replacement of a MECHANISM with an identical MECHANISM (size, weight, material), and  G.additions, removals, or reconfiguration of ROBOT with a subset of MECHANISMS already  inspected per I303
I305	18	EVERGREEN	Do not exploit re-inspection.	14	0		Teams may not use the re-inspection process in I304 to circumvent any other rules.
I306	18	EVERGREEN	ROBOTS can be powered on for inspection only for specific verification steps.	122	0		For the safety of all those involved, ROBOTS must be presented for inspection with the ROBOT powered off and springs or  other non-electrical stored energy devices in their lowest potential energy states (e.g., springs relaxed).   Power should only be enabled on the ROBOT during those portions of the inspection process where it is  required to validate certain system functionality and compliance with specific rules (software check,  etc.). INSPECTORS may allow the ROBOT to be powered beyond the parameters above if both criteria  below are met:   A.the ROBOT design requires power or a charged stored energy device in order to confirm that the  ROBOT meets STARTING CONFIGURATION requirements and  B.the team has included safety interlocks that mitigate unexpected release of such stored energy.
I307	18	EVERGREEN	STUDENTS must be present during the inspection process.	733	0	Inspection will not continue until a STUDENT is present.   Universal Violation Note: A violation of any Event Rules (E) will result in a verbal warning. Egregious or  subsequent violations will be addressed by the Head REFEREE, the lead ROBOT INSPECTOR (LRI) and/or  Event Director and may result in disqualification for the team from MATCHES and awards. Criminal  behavior will not be tolerated and will result in removal of individual(s) involved and/or disqualification for  the team from the event.	At least 1 STUDENT team member must accompany the ROBOT for any inspection efforts.  4 Advancement  Teams are only eligible to advance from events within their own region. Teams may be invited to compete at  tournaments outside of their region, however, they do so for the opportunity of additional gameplay and to  compete with other teams from outside of their area and are not advancement eligible from these out-of- region events.  Teams can check what region they are assigned to on the FTC Events page by looking up their team number.  Teams in regions that do not have a local Program Delivery Partner, or who are geographically isolated within  their home region can work with FIRST by emailing ftcteams@firstinspires.org to get reassigned to another  more accessible region for advancement.   Figure 4-1: Region assignment display on FTC Events page  FIRST Tech Challenge tournament progression is shown in Figure 4-2. Teams can advance from any of their  first three entry-level events: Qualifying Tournaments (QT) and League Tournaments (LT). Teams may only  participate in one league per season. See section 14 League Play Tournaments (L) for more details on  League Tournaments. Teams may participate in more than 3 entry-level events, but they are not eligible for  advancement from those events.   Figure 4-2: Tournament advancement structure  Teams may advance from their Qualifying Tournaments or League Tournament to either a Super Qualifying  Tournament (SQT) or directly to a Regional Championship (RCMP). Super Qualifying Tournaments (SQT) are  an optional advancement level often used in large regions which need more levels of competition. A team may  only participate in one Super Qualifying Tournament.  The local Program Delivery Partner determines the advancement numbers from each tournament in their  region, up to a Regional Championship. FIRST Headquarters staff determine the advancement from each  Regional Championship to the FIRST Championship.   If the team listed has already advanced or is ineligible for advancement, selection will continue down the list in  Table 4-1 until all available advancement slots are filed.  Table 4-1: Advancement Order  Single Division Single Division  Dual Division  Events 4-10 Teams  Events ≥11 Teams  0  Qualifying Tournament Host Team*  Inspire Award, 1st Place  1  Event 1st Place Alliance Captain  2  Event 1st Place Alliance Partner  3  Think Award, 1st Place  Inspire Award, 2nd Place  Inspire Award, 2nd Place  4  Inspire Award, 3rd Place   Inspire Award, 3rd Place  5  Connect/Motivate Award  (if Awarded)  1st Place Alliance Captain,  2nd Place Alliance Captain  2nd Place Alliance Captain  6  finalist division  Think Award, 1st Place  Think Award, 1st Place  7  Design/Control/Innovate Award  1st Place Alliance Partner,  2nd Place Alliance Partner  2nd Place Alliance Partner  8  finalist division  Connect Award, 1st Place  Connect Award, 1st Place  9  2nd Place Alliance Captain,  3rd Place Alliance Captain  10  winning division  Innovate Award, 1st Place  Innovate Award, 1st Place  11  2nd Place Alliance Captain, finalist  3rd Place Alliance Partner  12  division  Control Award, 1st Place  Control Award, 1st Place  13  Motivate Award, 1st Place  Motivate Award, 1st Place  14  Design Award, 1st Place  Design Award, 1st Place  15  2nd Place Alliance Partner,  Next Highest Ranked Team   16  not already advanced  winning division  2nd Place Alliance Partner, finalist  Next Highest Ranked Team   17  not already advanced  division  Next Highest Award   Next Highest Award   Next Highest Ranked Team   (2nd and 3rd places)  (2nd and 3rd places)  18**  not already advanced  Not Already Advanced   Not Already Advanced  Next Highest Ranked Team   Next Highest Ranked Team   19**  not already advanced,   not already advanced  winning division  Next Highest Ranked Team   20**  not already advanced,   finalist division  *At the discretion of the Program Delivery Partner, a Qualifying Tournament (QT) host team may be granted  advancement. The team must still compete at one other tournament within the region.   **If advancement selection goes beyond the 20th position, rows 18-20 will repeat as needed.  5 Event Rules (E)  This section includes general rules which apply from the beginning of the public schedule when teams arrive  through the end of the event with departure from the venue. They are high-level rules intended to promote an  orderly and safe experience for all participants. The Event Director may specify additional restrictions beyond  those listed here based on local venue requirements.    5.1 General Rules  The rules below apply throughout an event from the beginning of the public schedule when teams arrive  through the end of the event with departure from the venue.   Additional rule specific violations, if applicable, are listed with their corresponding rule.
E101	21	EVERGREEN	Personal safety comes first.	183	0		All team members must observe the following safety practices throughout the event:  A.wear safety glasses or safety rated glasses with side shields (ANSI-approved, UL Listed, CE  EN166 rated, AS/NZS certified, or CSA rated) while in and around the playing FIELD and in the  pit area. Clear or lightly tinted safety glasses are preferred. Shaded glasses are allowed for  those who need them and do not require a specific accommodation request. The only instances  where teams are not required to wear safety glasses are in their first 10 minutes of their event  load in, and for the first 10 minutes pits are open each day of the event as long as they're not  working on the ROBOT or setting up their pit.  B.wear closed toed/heeled shoes.  C.control entanglement risks by tying back long hair and removing other dangling decorations  including lanyards, spirit wear and rings as needed while working on or around a ROBOT or  ROBOT related materials or tools.  D.wear appropriate clothing.  E.walk in the venue.  F.comply with government and venue-specific health and safety requirements in place for that  event (i.e., mask wearing).
E102	22	EVERGREEN	Be a Gracious Professional.	25	0		All participants must be gracious and professional at all times while attending a FIRST Tech Challenge event. Uncivil behavior toward any participants is not tolerated.
E103	22	EVERGREEN	Children with adults, please.	15	0		Children under 12 must be accompanied in the pits by an adult at all times.
E104	22	EVERGREEN	Respect the venue.	29	0		Teams may not damage the venue, including but not limited to bleachers, floors, walls, railings, in any way. This includes littering with team giveaways including candies, flyers and  stickers.
E105	22	EVERGREEN	Teams must check in.	39	0	Failure to check in may result in a team not participating in the event.	An adult team member must check in at the Pit Administration station, or the designated check in location, no later than 45 minutes before qualification MATCHES are scheduled to  start unless otherwise specified or approved by the Event Director.
E106	22	EVERGREEN	Event resources are for competing teams only.	50	0		Only teams registered for an event may use that event's competition FIELD, practice FIELD, and inspection unless pre-approved by the Event Director or  the Program Delivery Partner. Host teams supplying practice FIELD elements and/or machine shop  resources may use them, however teams registered for that event must be granted priority.
E107	23	EVERGREEN	Practice only when/where permitted.	23	0		Teams may only practice with their ROBOT in their pit space, in the designated event practice areas, or while in a practice MATCH.
E108	23	EVERGREEN	Work in designated areas only.	66	0		At the event venue, teams may only produce FABRICATED ITEMS as follows:   A.in their pit area,  B.in another team's pit area with permission from that team,   C.while queued for a MATCH or practice FIELD (given space constraints, extra scrutiny regarding  safety is required),  D.any area designated by event staff (e.g., playoff pit area), or  E.as permitted at provided machine shops that are available to all teams.
E109	23	EVERGREEN	Some things do not belong at events.	35	0		Do not bring or use the following: A.skateboards  B.'hoverboards'  C.drones  D.bottled gas tanks (e.g., helium)  E.noisy devices or noisemakers, such as floor stompers, whistles and/or air horns  F.walkie-talkies  G.scooters, except for those used for accommodations
E110	23	EVERGREEN	Do not arrange for additional utilities.	33	0		Do not arrange for power, internet access, or phone lines from venue service providers or attempt to use venue internet connections reserved for event purposes (e.g.,  FIRST event management software or web casting).
E111	23	EVERGREEN	Do not sell stuff.	36	0		Teams may not conduct sales at an event. This includes, but is not limited to, raffle tickets, food, hats, shirts, candy, water, soft drinks, fruit, or any promotional products unless specifically  allowed by the Event Director.
E112	23	EVERGREEN	Make	22	0		FIRST loud, but with restrictions. Do not invite or bring live bands to play in the audience. Do not play loud music.
E113	23	EVERGREEN	Hang banners with care.	69	0		Be respectful when hanging your banners. A.Do not cover or move other team or sponsor signs already in place.  B.Share the available space fairly with other teams.  C.Do not obstruct the view of spectators.  D.Get permission from the Event Director before hanging banners outside of your pit.   E.Hang signs and banners in a safe manner.  F.Banners hung outside team pits must not be larger than 25 ft.2 (2.3 m2).
E114	24	EVERGREEN	Limit flag and flagpole size if used in the ARENA.	21	0		Flags and flagpoles may not be of unreasonable size and weight if they are going to be used around the FIELD.
E115	24	EVERGREEN	No firearms or other weapons.	47	0		Firearms or other weapons are prohibited at all FIRST events for all FIRST programs, including without limitation, all official FIRST Events posted here. This rule includes  prop or simulated weapons which appear to be real. This policy does not apply to law enforcement or  venue security personnel.
E116	24	EVERGREEN	Inspection required for practice FIELD access.	29	0		A team may only use a practice FIELD with a ROBOT that has passed an initial, complete inspection. This rule only applies to events not using scheduled  inspection times.
E117	24	EVERGREEN	Do not record	130	0		FIRST staff or volunteers at the event without their consent. Teams and their guests may not record interactions with FIRST event staff, or anyone at an event, without the person's consent.  FIRST event staff and volunteers are empowered to excuse themselves from an interaction in which  they are being recorded after declining consent.  5.2 Machine Shops and Host Team Build Spaces  Rarely, some events host a machine shop or open their team's build space, during specific hours (see the event  public agenda), to help teams with repair and fabrication of their ROBOT. Machine shops are typically  sponsored by the local host organization. In most cases, the machine shop is on site and readily accessible to  all teams. All competing teams should have access to the same resources.   5.3 Wireless Rules
E301	24	EVERGREEN	No wireless communication.	31	0		Teams may not set up their own Wi-Fi (802.11a/b/g/n/ac/ax/be) wireless communication (e.g., access points or ad-hoc networks), Bluetooth, or any other  communications systems using 2.4GHz or 5GHz wireless in the venue.
E302	25	EVERGREEN	Don't interfere with wireless networks.	413	0	Verbal warning, plus subsequent and/or egregious violations may lead to dismissal from the  event and/or legal action based on applicable laws.	Participants may not interfere, attempt to interfere, or attempt to connect with any other team or FIRST wireless network without expressed permission.   5.4 Load-In  Some large events (often multi-day events) may set specific time frames, published on the event public  schedule, in which teams are invited to load their ROBOT and equipment into their pit areas before pits  officially open.  Load-in can be stressful for teams and volunteers, which can be mitigated by preparation and planning.  Unanticipated factors, like traffic or weather, can change a team's scheduled arrival time, making the process  difficult. The most important things a team should remember are to be safe, gracious, and professional.  Teams who experience smooth and easy load-ins are encouraged to check with others to see if they can help  and make their experience as positive as possible.  5.5 Pits  A team pit is the designated space, typically a 10 ft. by 10 ft. by 10 ft. (~3 m x 3 m x 3 m) area, where a team  may work on their ROBOT. Each team is assigned a pit space marked with their team number. This helps team  members, judges, and visitors find teams easily. Pit spaces may vary based on competition venue size limits.  The pit area refers to the general area where team pits are located which encompasses the aisles between the  pits, pit admin, ROBOT inspection, practice FIELD, or other areas where ROBOTS may be active or worked on.  All pit rules apply to the full pit area.   Additional limitations beyond those listed below may be imposed by the Event Director but they should be  clearly communicated at least 48 hours before the event start time and applied to all teams fairly. Team pits  may or may not have a table and power outlet. If individual team outlets are not provided, the venue must  provide access to team-usable outlets in the pit area for charging batteries. Power may not be available  overnight for a multi-day event.   Teams, volunteers, FIRST staff, and guests spend a lot of time in the pits. Get to know other teams and help  each other when you can. Time is short and help is very often right "next door" in the adjacent team pits.  Small, bench-top machinery, with appropriate guards, is permitted in team pits. 'Small' machinery is machinery  that can be easily lifted by one person and examples include, but are not limited to: 3D printers, small band  saws, small drill presses, desktop CNC mills, and sanders.
E501	26	EVERGREEN	Pits are unavailable if closed.	12	0		Teams may not access their pit area outside the designated pit hours.
E502	26	EVERGREEN	Stay in your pit.	43	0		Teams may neither allow their materials to expand beyond their team pit (including running power or internet lines from their team pit to any other area), swap team pits with other teams,  nor move themselves to empty team pits without Event Director approval.
E503	26	EVERGREEN	Keep aisles clear.	5	0		Aisles must be kept clear.
E504	26	EVERGREEN	No sparks.	10	0	Any items that are deemed unsafe or outside specifications by FIRST personnel and/or the  Event Director must be removed.	Tools that throw sparks or produce open flames are prohibited.
E505	26	EVERGREEN	Nothing too big.	6	0	Teams will be asked to remove or not bring in floor standing power tools. Any items that are  deemed unsafe or outside specifications by FIRST personnel and/or Event Director must be removed.	Floor standing power tools are prohibited.
E506	26	EVERGREEN	No brazing or welding.	3	0	Teams will be asked to remove or not bring in brazing/welding tools. Any items that are  deemed unsafe or outside specifications by FIRST personnel, and/or Event Director must be removed.	Brazing/welding is prohibited.
E507	26	EVERGREEN	Solder with specific tools only.	9	0	Any items that are deemed unsafe or outside specifications by FIRST personnel and/or the  Event Director must be removed.	Soldering may be done using an electric iron/gun only.
E508	26	EVERGREEN	Structures must be safe.	29	0	Any pit structures that are deemed unsafe or outside specifications by FIRST personnel and/or  the Event Director must be removed.	Teams may not build any structure that supports the weight of people or stores items overhead. Structures may not block or inhibit fire sprinkler systems or otherwise be  unsafe.
E509	26	EVERGREEN	Secure team identification assets.	13	0	Any pit structures that are deemed unsafe or outside specifications by FIRST personnel and/or  the Event Director must be removed.	Team signs, flags, and displays must be securely mounted to the pit structure.
E510	26	EVERGREEN	Only use aerosol or other chemicals with noxious fumes in approved areas.	110	0	Any items that are deemed unsafe or outside specifications by FIRST personnel and/or the  Event Director must be removed.	Any aerosol or chemical that produces noxious fumes or spray particulates should only be used in approved areas. Not all  venues will allow the use of these products anywhere on site.   5.6 ROBOT Carts  Most teams use carts to transport their ROBOT throughout an event. Carts are not required but are strongly  recommended (to minimize risk of muscle strains, dropped ROBOTS, and other hazards). In addition to the  rules listed below, teams are strongly encouraged to put the team's number on the cart, refer to the FIRST Safety Manual for ROBOT lifting techniques, and practice putting the ROBOT on and off the cart to develop a  safe, quick, fluid routine.
E601	27	EVERGREEN	Carts must be safe and easy to use.	13	0		Carts must be easy to control, maneuver, and pose no risk to bystanders.
E602	27	EVERGREEN	Carts should not be too big.	8	0		Carts must fit through a standard 30-inch door.
E603	27	EVERGREEN	Carts cannot park anywhere.	18	0		Carts must remain in the team pit (or other venue designated cart staging areas) when not in use.
E604	27	EVERGREEN	No noisy carts.	11	0		Carts may not be equipped with music or other sound-generating devices.
E605	27	EVERGREEN	No motor driven carts.	117	0		ROBOT carts may not use powered propulsion. 5.7 Ceremonies  At most events, there are opening and closing ceremonies to show honor and respect for represented  countries, sponsors, teams, mentors, volunteers, and award winners. Ceremonies provide everyone with the  opportunity to collectively applaud the successes of all participants. They also give teams a chance to "meet"  the volunteers and other people and sponsors involved with the event. Closing ceremony elements are at the  end of most events and are integrated into and presented between playoff MATCHES.   At the awards ceremony, FIRST presents trophies and medallions to outstanding teams. All team members are  encouraged to attend the ceremonies, be punctual, and show appreciation to volunteers that staffed the event.
E701	27	EVERGREEN	Quiet in the pits during ceremonies.	36	0		During ceremonies outside of playoff MATCHES, team members may not:  A.use power tools  B.use loud hand tools (hammers, saws, etc.)  C.shout, yell, or use loud voices, unless as a demonstration of approval during a ceremonial  activity.
